Растение (RU)	Штамм бактерии	BacDive ID	Род бактерии	Оптимальная Т (°C)	Класс опасности (BSL)	Источник изоляции	Источник базы
Горох	Bacillus pumilus	771	Bacillus	Не указана	Проверяется	Выделен из ризосферы / тканей растения	BacDive DSMZ
Горох	Bacillus pumilus	770	Bacillus	Не указана	Проверяется	Выделен из ризосферы / тканей растения	BacDive DSMZ
Горох	Bacillus pumilus	769	Bacillus	Не указана	Проверяется	Выделен из ризосферы / тканей растения	BacDive DSMZ
Горох	Bacillus pumilus	768	Bacillus	Не указана	Проверяется	Выделен из ризосферы / тканей растения	BacDive DSMZ
Горох	Bacillus pumilus	767	Bacillus	Не указана	Проверяется	Выделен из ризосферы / тканей растения	BacDive DSMZ
Горох	Bacillus pumilus	766	Bacillus	Не указана	Проверяется	Выделен из ризосферы / тканей растения	BacDive DSMZ
Горох	Bacillus pumilus	765	Bacillus	Не указана	Проверяется	Выделен из ризосферы / тканей растения	BacDive DSMZ
Горох	Bacillus pumilus	764	Bacillus	Не указана	Проверяется	Выделен из ризосферы / тканей растения	BacDive DSMZ
Горох	Bacillus pumilus	763	Bacillus	Не указана	Проверяется	Выделен из ризосферы / тканей растения	BacDive DSMZ
Горох	Bacillus pumilus	762	Bacillus	Не указана	Проверяется	Выделен из ризосферы / тканей растения	BacDive DSMZ
Горох	Bacillus pumilus	761	Bacillus	Не указана	Проверяется	Выделен из ризосферы / тканей растения	BacDive DSMZ
Горох	Bacillus pumilus	760	Bacillus	Не указана	Проверяется	Выделен из ризосферы / тканей растения	BacDive DSMZ
Горох	Bacillus pumilus	130862	Bacillus	Не указана	Проверяется	Выделен из ризосферы / тканей растения	BacDive DSMZ
Горох	Bacillus pumilus	130861	Bacillus	Не указана	Проверяется	Выделен из ризосферы / тканей растения	BacDive DSMZ
Горох	Bacillus pumilus	130170	Bacillus	Не указана	Проверяется	Выделен из ризосферы / тканей растения	BacDive DSMZ
Горох	Bacillus pumilus	130169	Bacillus	Не указана	Проверяется	Выделен из ризосферы / тканей растения	BacDive DSMZ
Горох	Bacillus pumilus	130168	Bacillus	Не указана	Проверяется	Выделен из ризосферы / тканей растения	BacDive DSMZ
Горох	Bacillus pumilus	131633	Bacillus	Не указана	Проверяется	Выделен из ризосферы / тканей растения	BacDive DSMZ
Горох	Bacillus pumilus	131632	Bacillus	Не указана	Проверяется	Выделен из ризосферы / тканей растения	BacDive DSMZ
Горох	Bacillus pumilus	131631	Bacillus	Не указана	Проверяется	Выделен из ризосферы / тканей растения	BacDive DSMZ
Горох	Bacillus pumilus	131630	Bacillus	Не указана	Проверяется	Выделен из ризосферы / тканей растения	BacDive DSMZ
Горох	Bacillus pumilus	139688	Bacillus	Не указана	Проверяется	Выделен из ризосферы / тканей растения	BacDive DSMZ
Горох	Bacillus safensis subsp. safensis	158109	Bacillus	Не указана	Проверяется	Выделен из ризосферы / тканей растения	BacDive DSMZ
Горох	Bacillus safensis subsp. osmophilus	166417	Bacillus	Не указана	Проверяется	Выделен из ризосферы / тканей растения	BacDive DSMZ
Горох	Bacillus shivajii	159795	Bacillus	Не указана	Проверяется	Выделен из ризосферы / тканей растения	BacDive DSMZ
Горох	Bacillus smithii	815	Bacillus	Не указана	Проверяется	Выделен из ризосферы / тканей растения	BacDive DSMZ
Горох	Bacillus sonorensis	131635	Bacillus	Не указана	Проверяется	Выделен из ризосферы / тканей растения	BacDive DSMZ
Горох	Bacillus sp.	958	Bacillus	Не указана	Проверяется	Выделен из ризосферы / тканей растения	BacDive DSMZ
Горох	Bacillus sp.	955	Bacillus	Не указана	Проверяется	Выделен из ризосферы / тканей растения	BacDive DSMZ
Горох	Bacillus sp.	954	Bacillus	Не указана	Проверяется	Выделен из ризосферы / тканей растения	BacDive DSMZ
Горох	Bacillus sp.	953	Bacillus	Не указана	Проверяется	Выделен из ризосферы / тканей растения	BacDive DSMZ
Горох	Bacillus sp.	952	Bacillus	Не указана	Проверяется	Выделен из ризосферы / тканей растения	BacDive DSMZ
Горох	Bacillus sp.	951	Bacillus	Не указана	Проверяется	Выделен из ризосферы / тканей растения	BacDive DSMZ
Горох	Bacillus sp.	950	Bacillus	Не указана	Проверяется	Выделен из ризосферы / тканей растения	BacDive DSMZ
Горох	Bacillus sp.	949	Bacillus	Не указана	Проверяется	Выделен из ризосферы / тканей растения	BacDive DSMZ
Горох	Bacillus sp.	948	Bacillus	Не указана	Проверяется	Выделен из ризосферы / тканей растения	BacDive DSMZ
Горох	Bacillus sp.	947	Bacillus	Не указана	Проверяется	Выделен из ризосферы / тканей растения	BacDive DSMZ
Горох	Bacillus sp.	946	Bacillus	Не указана	Проверяется	Выделен из ризосферы / тканей растения	BacDive DSMZ
Горох	Bacillus sp.	945	Bacillus	Не указана	Проверяется	Выделен из ризосферы / тканей растения	BacDive DSMZ
Горох	Bacillus sp.	925	Bacillus	Не указана	Проверяется	Выделен из ризосферы / тканей растения	BacDive DSMZ
Горох	Bacillus sp.	924	Bacillus	Не указана	Проверяется	Выделен из ризосферы / тканей растения	BacDive DSMZ
Горох	Bacillus sp.	923	Bacillus	Не указана	Проверяется	Выделен из ризосферы / тканей растения	BacDive DSMZ
Горох	Bacillus sp.	922	Bacillus	Не указана	Проверяется	Выделен из ризосферы / тканей растения	BacDive DSMZ
Горох	Bacillus sp.	130875	Bacillus	Не указана	Проверяется	Выделен из ризосферы / тканей растения	BacDive DSMZ
Горох	Bacillus sp.	130874	Bacillus	Не указана	Проверяется	Выделен из ризосферы / тканей растения	BacDive DSMZ
Горох	Bacillus sp.	130873	Bacillus	Не указана	Проверяется	Выделен из ризосферы / тканей растения	BacDive DSMZ
Горох	Bacillus sp.	130872	Bacillus	Не указана	Проверяется	Выделен из ризосферы / тканей растения	BacDive DSMZ
Горох	Bacillus sp.	130871	Bacillus	Не указана	Проверяется	Выделен из ризосферы / тканей растения	BacDive DSMZ
Горох	Bacillus sp.	130870	Bacillus	Не указана	Проверяется	Выделен из ризосферы / тканей растения	BacDive DSMZ
Горох	Bacillus sp.	130869	Bacillus	Не указана	Проверяется	Выделен из ризосферы / тканей растения	BacDive DSMZ
Горох	Bacillus sp.	130868	Bacillus	Не указана	Проверяется	Выделен из ризосферы / тканей растения	BacDive DSMZ
Горох	Bacillus sp.	130184	Bacillus	Не указана	Проверяется	Выделен из ризосферы / тканей растения	BacDive DSMZ
Горох	Bacillus sp.	130183	Bacillus	Не указана	Проверяется	Выделен из ризосферы / тканей растения	BacDive DSMZ
Горох	Bacillus sp.	158868	Bacillus	Не указана	Проверяется	Выделен из ризосферы / тканей растения	BacDive DSMZ
Горох	Bacillus sp.	158867	Bacillus	Не указана	Проверяется	Выделен из ризосферы / тканей растения	BacDive DSMZ
Горох	Bacillus sp.	158866	Bacillus	Не указана	Проверяется	Выделен из ризосферы / тканей растения	BacDive DSMZ
Горох	Bacillus sp.	158865	Bacillus	Не указана	Проверяется	Выделен из ризосферы / тканей растения	BacDive DSMZ
Горох	Bacillus sp.	158864	Bacillus	Не указана	Проверяется	Выделен из ризосферы / тканей растения	BacDive DSMZ
Горох	Bacillus sp.	158862	Bacillus	Не указана	Проверяется	Выделен из ризосферы / тканей растения	BacDive DSMZ
Горох	Bacillus sp.	158861	Bacillus	Не указана	Проверяется	Выделен из ризосферы / тканей растения	BacDive DSMZ
Горох	Bacillus sp.	158860	Bacillus	Не указана	Проверяется	Выделен из ризосферы / тканей растения	BacDive DSMZ
Горох	Bacillus sp.	157621	Bacillus	Не указана	Проверяется	Выделен из ризосферы / тканей растения	BacDive DSMZ
Горох	Bacillus sp.	157605	Bacillus	Не указана	Проверяется	Выделен из ризосферы / тканей растения	BacDive DSMZ
Горох	Bacillus sp.	157604	Bacillus	Не указана	Проверяется	Выделен из ризосферы / тканей растения	BacDive DSMZ
Горох	Bacillus sp.	157603	Bacillus	Не указана	Проверяется	Выделен из ризосферы / тканей растения	BacDive DSMZ
Горох	Bacillus sp.	169195	Bacillus	Не указана	Проверяется	Выделен из ризосферы / тканей растения	BacDive DSMZ
Горох	Bacillus sp.	169194	Bacillus	Не указана	Проверяется	Выделен из ризосферы / тканей растения	BacDive DSMZ
Горох	Bacillus subtilis	985	Bacillus	Не указана	Проверяется	Выделен из ризосферы / тканей растения	BacDive DSMZ
Горох	Bacillus subtilis	984	Bacillus	Не указана	Проверяется	Выделен из ризосферы / тканей растения	BacDive DSMZ
Горох	Bacillus subtilis	983	Bacillus	Не указана	Проверяется	Выделен из ризосферы / тканей растения	BacDive DSMZ
Горох	Bacillus subtilis	982	Bacillus	Не указана	Проверяется	Выделен из ризосферы / тканей растения	BacDive DSMZ
Горох	Bacillus subtilis	981	Bacillus	Не указана	Проверяется	Выделен из ризосферы / тканей растения	BacDive DSMZ
Горох	Bacillus subtilis	980	Bacillus	Не указана	Проверяется	Выделен из ризосферы / тканей растения	BacDive DSMZ
Горох	Bacillus subtilis	971	Bacillus	Не указана	Проверяется	Выделен из ризосферы / тканей растения	BacDive DSMZ
Горох	Bacillus subtilis	970	Bacillus	Не указана	Проверяется	Выделен из ризосферы / тканей растения	BacDive DSMZ
Горох	Bacillus subtilis	964	Bacillus	Не указана	Проверяется	Выделен из ризосферы / тканей растения	BacDive DSMZ
Горох	Bacillus subtilis	1001	Bacillus	Не указана	Проверяется	Выделен из ризосферы / тканей растения	BacDive DSMZ
Горох	Bacillus subtilis	1000	Bacillus	Не указана	Проверяется	Выделен из ризосферы / тканей растения	BacDive DSMZ
Горох	Bacillus subtilis	999	Bacillus	Не указана	Проверяется	Выделен из ризосферы / тканей растения	BacDive DSMZ
Горох	Bacillus subtilis	998	Bacillus	Не указана	Проверяется	Выделен из ризосферы / тканей растения	BacDive DSMZ
Горох	Bacillus subtilis	997	Bacillus	Не указана	Проверяется	Выделен из ризосферы / тканей растения	BacDive DSMZ
Горох	Bacillus subtilis	996	Bacillus	Не указана	Проверяется	Выделен из ризосферы / тканей растения	BacDive DSMZ
Горох	Bacillus subtilis	995	Bacillus	Не указана	Проверяется	Выделен из ризосферы / тканей растения	BacDive DSMZ
Горох	Bacillus subtilis	994	Bacillus	Не указана	Проверяется	Выделен из ризосферы / тканей растения	BacDive DSMZ
Горох	Bacillus subtilis	993	Bacillus	Не указана	Проверяется	Выделен из ризосферы / тканей растения	BacDive DSMZ
